#,Rider,Points,Avg Score,Prize $,Outs,Rides,Ride %,tour,year
1,Aaron Kleier,674.0,83.57,31750.0,37,22,59.46,pbr_australia,2020
2,Lachlan Richardson,616.0,84.58,24275.0,31,19,61.29,pbr_australia,2020
3,Kurt Shephard,424.5,82.75,10674.0,26,12,46.15,pbr_australia,2020
4,Brady Fielder,344.5,82.27,8923.0,32,13,40.63,pbr_australia,2020
5,Jake Curr,324.5,82.77,8572.0,29,13,44.83,pbr_australia,2020
6,Sam Woodall,236.5,85.92,6160.0,24,6,25.0,pbr_australia,2020
7,Bailey Woodard,178.33,82.86,4112.0,30,7,23.33,pbr_australia,2020
8,Lane Mellers,141.0,83.5,5670.0,25,4,16.0,pbr_australia,2020
9,Jackson Gray,133.5,83.1,3074.0,30,5,16.67,pbr_australia,2020
10,Lawson Nobbs,130.0,85.56,5830.0,22,4,18.18,pbr_australia,2020
11,Nathan Burtenshaw,115.5,84.25,8338.0,5,4,80.0,pbr_australia,2020
12,Will Purcell,96.5,84.67,8702.0,10,3,30.0,pbr_australia,2020
13,Mitchel Paton,92.0,79.79,3991.0,25,6,24.0,pbr_australia,2020
14,Ty Thomson,86.5,84.17,5322.0,19,3,15.79,pbr_australia,2020
15,Kelsey Pavlou,86.0,81.13,2077.0,22,4,18.18,pbr_australia,2020
16,Cody Heffernan,85.0,83.75,2170.0,10,2,20.0,pbr_australia,2020
17,Jay Borghero,75.0,83.33,1699.0,23,3,13.04,pbr_australia,2020
17,Brady Sims,75.0,83.5,6600.0,5,1,20.0,pbr_australia,2020
19,Braydon Wellby,74.0,80.67,1379.0,15,6,40.0,pbr_australia,2020
20,Eduardo Aparecido,72.5,83.0,6533.0,5,3,60.0,pbr_australia,2020
21,Lachlan Slade,67.0,80.69,1932.0,21,4,19.05,pbr_australia,2020
22,Jack McArthur,66.0,83.0,1694.0,11,2,18.18,pbr_australia,2020
23,Brendan Buckholz,62.0,79.8,2520.0,25,5,20.0,pbr_australia,2020
24,Caiden Sandilands,60.5,80.7,866.0,27,5,18.52,pbr_australia,2020
25,Joe Down,59.0,81.67,1057.0,18,3,16.67,pbr_australia,2020
26,Matt Hollis,58.0,82.0,1450.0,11,2,18.18,pbr_australia,2020
27,Rubens Barbosa,55.5,84.0,1333.0,5,2,40.0,pbr_australia,2020
28,Brody Woodard,48.5,83.5,1243.0,21,1,4.76,pbr_australia,2020
29,Rohan Markham,33.5,85.5,1733.0,13,1,7.69,pbr_australia,2020
30,Zane Hall,32.0,79.75,934.0,20,4,20.0,pbr_australia,2020
31,Sonny Schafferius,26.0,80.0,331.0,12,1,8.33,pbr_australia,2020
32,Troy Wilkinson,24.0,78.0,4806.0,6,2,33.33,pbr_australia,2020
33,Michael Smith,20.0,76.0,239.0,18,2,11.11,pbr_australia,2020
34,Sam Champ,19.0,82.0,460.0,14,1,7.14,pbr_australia,2020
35,JC Davis,15.33,84.0,938.0,5,1,20.0,pbr_australia,2020
36,Cliff Richardson,14.0,84.0,800.0,2,1,50.0,pbr_australia,2020
36,Josh Cavanagh,14.0,76.0,232.0,7,1,14.29,pbr_australia,2020
38,Eli Bee,13.0,81.25,0.0,5,2,40.0,pbr_australia,2020
39,Jack Keats,12.5,80.0,120.0,25,2,8.0,pbr_australia,2020
40,Kaique Pacheco,11.0,82.25,200.0,4,2,50.0,pbr_australia,2020
41,Budd Williamson,10.0,83.5,450.0,15,1,6.67,pbr_australia,2020
41,Thomas Hudson,10.0,81.0,1659.0,3,1,33.33,pbr_australia,2020
43,Cody Rodeo Tyler,8.33,84.0,375.0,5,1,20.0,pbr_australia,2020
44,Beau Willis,8.0,73.0,0.0,13,1,7.69,pbr_australia,2020
45,Ethan Watts,6.0,80.0,1101.0,6,1,16.67,pbr_australia,2020
45,Ben Gard,6.0,70.75,0.0,12,2,16.67,pbr_australia,2020
47,Justin Robards,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Sam Woodard,0.0,0.0,0.0,2,0,0.0,pbr_australia,2020
47,Oscar Leake,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Robert Hicks,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Tyler Morgan,0.0,0.0,0.0,8,0,0.0,pbr_australia,2020
47,Daniel Rogan,0.0,0.0,0.0,3,0,0.0,pbr_australia,2020
47,Cameron McLennan,0.0,0.0,0.0,19,0,0.0,pbr_australia,2020
47,Harry Bridges,0.0,0.0,0.0,6,0,0.0,pbr_australia,2020
47,Sam Spencer,0.0,0.0,0.0,2,0,0.0,pbr_australia,2020
47,Eric Richardson,0.0,0.0,0.0,2,0,0.0,pbr_australia,2020
47,Will Watson,0.0,0.0,0.0,2,0,0.0,pbr_australia,2020
47,Wayne Crisp,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Sam Daly,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Luke Parkinson,0.0,77.0,217.0,3,1,33.33,pbr_australia,2020
47,Isaac Leclair,0.0,72.5,0.0,2,1,50.0,pbr_australia,2020
47,Dan Ruhland,0.0,0.0,0.0,11,0,0.0,pbr_australia,2020
47,Brumby Brandenburg,0.0,0.0,0.0,7,0,0.0,pbr_australia,2020
47,Clay Hall,0.0,0.0,0.0,6,0,0.0,pbr_australia,2020
47,Lucas McKenzie,0.0,0.0,0.0,4,0,0.0,pbr_australia,2020
47,Bryn Francis,0.0,0.0,0.0,4,0,0.0,pbr_australia,2020
47,Jack Cameron,0.0,0.0,0.0,6,0,0.0,pbr_australia,2020
47,Joey Buckingham,0.0,0.0,0.0,3,0,0.0,pbr_australia,2020
47,Jake Whalan,0.0,0.0,0.0,2,0,0.0,pbr_australia,2020
47,Jacob Rayner,0.0,0.0,0.0,3,0,0.0,pbr_australia,2020
47,Chad Ormsby,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Ben Graving,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Sean Lynch,0.0,0.0,0.0,2,0,0.0,pbr_australia,2020
47,William Dougan,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
47,Quintin Carey,0.0,0.0,0.0,1,0,0.0,pbr_australia,2020
1,Dakota Buttar,471.5,86.56,48022.0,25,18,72.0,pbr_canada,2020
2,Zane Lambert,231.33,85.17,10973.0,21,12,57.14,pbr_canada,2020
3,Brock Radford,230.5,86.22,16070.0,20,9,45.0,pbr_canada,2020
4,Callum Miller,183.0,83.57,5209.0,12,7,58.33,pbr_canada,2020
5,Garrett Green,182.5,85.17,11239.0,13,9,69.23,pbr_canada,2020
6,Lonnie West,166.5,84.44,6911.0,16,8,50.0,pbr_canada,2020
7,Jared Parsonage,149.5,84.68,10065.0,21,14,66.67,pbr_canada,2020
8,Aaron Roy,133.0,83.25,4564.0,20,10,50.0,pbr_canada,2020
9,Logan Biever,120.5,85.43,7741.0,17,7,41.18,pbr_canada,2020
10,Ty Ellis,96.5,82.0,3805.0,9,4,44.44,pbr_canada,2020
11,Tanner Eno,89.5,81.1,2800.0,15,5,33.33,pbr_canada,2020
12,Dayton Johnston,80.33,83.93,2869.0,14,7,50.0,pbr_canada,2020
13,Jake Gardner,69.83,84.81,3995.0,19,8,42.11,pbr_canada,2020
14,Nick Tetz,69.5,83.08,3507.0,18,6,33.33,pbr_canada,2020
15,Todd Chotowetz,67.5,85.33,1831.0,14,3,21.43,pbr_canada,2020
