,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Jose Vitor Leme,,"2,832.50",89.82,"$1,827,905",71,49,69.01%
1,2,Kaique Pacheco,,"2,041",87.29,"$477,889",93,50,53.76%
2,3,Cooper Davis,,"1,529.50",87.68,"$285,763",83,45,54.22%
3,4,João Ricardo Vieira,,"1,132",87.73,"$182,724",82,39,47.56%
4,5,Mauricio Gulla Moreira,,977,87.85,"$176,971",89,30,33.71%
5,6,Dener Barbosa,,927,86.45,"$149,973",74,32,43.24%
6,7,Boudreaux Campbell,,919,87.75,"$183,354",68,24,35.29%
7,8,Derek Kolbaba,,828,87.99,"$161,738",82,25,30.49%
8,9,Silvano Alves,,778,86.49,"$129,108",86,27,31.40%
9,10,Eli Vastbinder,,700,87.46,"$182,203",54,19,35.19%
10,11,Mason Taylor,,626,87.88,"$147,883",55,15,27.27%
11,12,Chase Dougherty,,568.50,87.38,"$96,798",62,21,33.87%
12,13,Marco Eguchi,,561.50,86.10,"$96,821",62,22,35.48%
13,14,Junior Patrik Souza,,557,84.97,"$65,449",83,26,31.33%
14,15,Cody Teel,,534,87.26,"$93,330",72,21,29.17%
15,16,Dalton Kasel,,502,88.37,"$83,976",47,17,36.17%
16,17,Rafael dos Santos,,496.50,87.39,"$78,881",49,18,36.73%
17,18,Jesse Petri,,486.50,85.40,"$72,260",59,21,35.59%
18,19,Keyshawn Whitehorse,,485,87.45,"$65,871",73,16,21.92%
19,20,João Henrique Lucas,,474,86.68,"$74,491",78,24,30.77%
20,21,Claudio Montanha Jr.,,465,85.63,"$72,900",71,19,26.76%
21,22,Cody Jesus,,352,88.45,"$58,297",37,11,29.73%
22,22,Marcelo Procopio Pereira,,352,86.04,"$42,796",60,18,30%
23,24,Alex Cerqueira,,316,84.10,"$47,354",44,17,38.64%
24,25,Colten Fritzlan,,311,87.09,"$55,321",31,11,35.48%
25,26,Paulo Ferreira Lima,,307,85.33,"$132,198",26,10,38.46%
26,27,Eduardo Aparecido,,288,85.82,"$34,534",69,18,26.09%
27,28,Cole Melancon,,260,87.25,"$40,178",55,7,12.73%
28,29,Andrew Alvidrez,,258,86.63,"$38,647",47,13,27.66%
29,30,Ezekiel Mitchell,,239.50,87.02,"$30,764",65,15,23.08%
30,31,Austin Richardson,,196,88.16,"$27,718",35,8,22.86%
31,32,Daylon Swearingen,,195.50,87.22,"$31,829",33,8,24.24%
32,33,Taylor Toves,,185,87.61,"$28,261",44,7,15.91%
33,34,Lucas Divino,,179,86.55,"$24,066",38,10,26.32%
34,35,Kyler Oliver,,163,87.20,"$23,452",17,5,29.41%
35,36,Fernando Henrique Novais,,159,84.81,"$18,819",20,8,40%
36,37,Thiago Salgado,,143.50,86.25,"$19,776",33,7,21.21%
37,38,Cody Nance,,141,85.97,"$15,511",40,8,20%
38,39,Manoelito de Souza Junior,,136,84.75,"$17,620",25,8,32%
39,40,Adriano Salgado,,120.50,87.00,"$14,243",20,7,35%
40,41,Jess Lockwood,,119.50,88.00,"$21,219",20,3,15%
41,42,Conner Halverson,,98,86.80,"$17,064",30,5,16.67%
42,43,Ramon de Lima,,94,84.04,"$10,992",33,7,21.21%
43,44,Caic Cassio Carvalho,,92,86.81,"$11,791",9,4,44.44%
44,45,Alvaro Alvarez Aguilar,,89,92.00,"$35,000",6,1,16.67%
45,46,J.T. Moore,,74,84.45,"$6,447",27,5,18.52%
46,47,Luciano De Castro,,73,86.31,"$8,029",18,4,22.22%
47,48,Brennon Eldred,,70.50,86.83,"$11,059",25,3,12%
48,49,Dakota Louis,,61,84.42,"$2,771",30,6,20%
49,50,Lane Nobles,,59,88.38,"$15,500",10,2,20%
50,51,Cody Casper,,49,85.17,"$3,722",13,3,23.08%
51,52,Matt Triplett,,48.50,85.06,"$3,102",20,4,20%
52,53,Marcus Mast,,35,83.67,"$2,591",11,3,27.27%
53,54,Kyle Jones,,29,86.50,"$2,890",23,2,8.70%
54,55,Marco Antonio Gloria,,24.50,85.38,"$1,000",5,2,40%
55,56,Dalton Krantz,,24,84.88,"$1,796",4,2,50%
56,56,Chase Outlaw,,24,89.00,"$4,001",5,1,20%
57,56,Clayton Sellars,,24,88.00,"$3,677",3,1,33.33%
58,59,Rodrigo Melgar,,23,74.63,"$2,890",20,2,10%
59,60,Grayson Cole,,14,83.50,$735,8,1,12.50%
60,61,Leonardo Lima,,13,80.75,"$1,000",18,1,5.56%
61,61,D.J. Parker,,13,80.75,$0,3,1,33.33%
62,63,Dalton Rudman,,10,85.50,$0,6,1,16.67%
63,64,Wallace Vieira de Oliveira,,8,83.00,$0,6,1,16.67%
64,64,Michael Lane,,8,85.00,$0,5,1,20%
65,64,Davi Henrique de Lima,,8,85.00,$0,2,1,50%
66,64,Marco Juarez,,8,84.75,$0,2,1,50%
67,68,J.B. Mauney,,0,0.00,$400,10,0,0%
68,68,Stetson Lawrence,,0,0.00,$0,3,0,0%
69,68,Tye Chandler,,0,0.00,$400,6,0,0%
70,68,Cannon Cravens,,0,81.75,$400,2,1,50%
71,68,Bradley Brittain,,0,0.00,$400,2,0,0%
72,68,Gage Gay,,0,0.00,$0,1,0,0%
73,68,Junio Quaresima,,0,0.00,$0,1,0,0%
74,68,Alex Cardozo,,0,67.25,$0,6,1,16.67%
75,68,Koal Livingston,,0,0.00,$0,1,0,0%
76,68,Alex Santana,,0,0.00,$0,1,0,0%
77,68,Venn Johns,,0,0.00,$0,1,0,0%
78,68,Rubens Barbosa,,0,0.00,$0,1,0,0%
79,68,Cole Skender,,0,83.75,$0,6,1,16.67%
80,68,Aaron Williams,,0,77.25,$0,2,1,50%
81,68,Hunter Ball,,0,0.00,$0,8,0,0%
82,68,Lucas Fideles Souza,,0,0.00,$0,6,0,0%
83,68,Thor Hoefer II,,0,0.00,$0,4,0,0%
84,68,Joe Hostetler,,0,0.00,$0,3,0,0%
85,68,Mason Ward,,0,0.00,$0,2,0,0%
86,68,Hunter Kelly,,0,0.00,$0,2,0,0%
87,68,Aaron Pass,,0,0.00,$0,2,0,0%
88,68,Eli Byler,,0,0.00,$0,2,0,0%
89,68,Carlos Garcia,,0,0.00,$0,3,0,0%
