,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Jean Fernandes Pereira,,806.75,82.89,"$179,683",76,51,67.11%
1,2,João Lucas Campos,,776.33,84.67,"$94,964",69,49,71.01%
2,3,Gabriel Morais,,656,84.40,"$58,466",78,40,51.28%
3,4,Adilson Junior,,655.50,83.05,"$44,378",78,38,48.72%
4,5,Maciel Santana,,592.66,81.92,"$52,089",81,39,48.15%
5,6,Felipe Furlan,,563.50,82.32,"$56,030",64,42,65.63%
6,7,Sandro Batista,,534.50,85.85,"$203,490",22,18,81.82%
7,8,Eric Henrique Domingos,,529.50,84.65,"$45,718",27,20,74.07%
8,9,Luiz Americo P. Silva,,519,82.82,"$34,939",72,32,44.44%
9,10,Cladson Rodolfo,,455,85.39,"$27,505",41,25,60.98%
10,11,Cassio Dias,,453.25,83.23,"$34,899",36,24,66.67%
11,12,Elton Toledo,,453.16,83.15,"$34,875",44,28,63.64%
12,13,Bruno Carvalho,,444,82.81,"$31,211",59,31,52.54%
13,14,Warley Oliveira da Silva,,438.66,85.17,"$23,805",40,24,60%
14,15,Leandro Zampollo,,433.50,83.26,"$21,305",75,37,49.33%
15,16,Alex Junior da Silva,,411.50,81.70,"$35,074",82,42,51.22%
16,17,Yan Victor Cunha,,390,84.88,"$33,220",33,21,63.64%
17,18,Lucas Junio da Silveira,,368.83,81.65,"$18,047",76,36,47.37%
18,19,Rafael Parra,,360.66,81.90,"$22,793",75,32,42.67%
19,20,Leonardo Castro,,357,83.69,"$39,550",21,18,85.71%
20,21,Vitor Hugo Costa,,351.66,82.01,"$11,695",71,31,43.66%
21,22,Miguel de Jesus,,335,83.59,"$6,269",47,28,59.57%
22,23,Arthur Antonialle,,315,83.17,"$47,359",45,24,53.33%
23,24,Jerson Arantes,,302.16,82.34,"$20,364",64,27,42.19%
24,25,José de Castro,,300,82.76,"$32,493",24,18,75%
25,26,Cleber Henrique Marques,,281,83.43,"$12,120",37,21,56.76%
26,27,Daniel Feitosa,,221,84.28,"$12,279",11,10,90.91%
27,28,Paulo Eduardo Rossetto,,217.50,80.24,"$32,943",30,19,63.33%
28,29,Everton Natan da Silva,,212.50,83.71,"$40,000",9,7,77.78%
29,30,Allan Dias,,174.50,80.59,"$11,041",28,16,57.14%
