,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Boston Leather,,833.50,83.84,"$170,201",72,27,37.50%
1,2,Macaulie Leather,,709.65,83.79,"$90,371",48,21,43.75%
2,3,Lachlan Richardson,,682.50,84.29,"$51,740",57,21,36.84%
3,4,Ben Bode,,623,82.68,"$74,859",52,17,32.69%
4,5,Braydon Wellby,,411.33,83.25,"$43,522",34,13,38.24%
5,6,Zane Hall,,342.80,82.95,"$24,125",48,14,29.17%
6,7,Rylee Ward,,301,83.82,"$23,816",36,11,30.56%
7,8,Diego Galdino,,230.46,83.63,"$19,363",43,8,18.60%
8,9,Qynn Andersen,,225,85.92,"$20,100",4,3,75%
9,10,Clint Glass,,211,83.75,"$15,844",31,6,19.35%
10,11,Lane Mellers,,202.50,84.83,"$21,319",37,6,16.22%
11,12,Toby Hale,,164,83.25,"$19,569",24,6,25%
12,13,Ky Borghero,,161.50,83.25,"$15,041",41,7,17.07%
13,14,Lachlan Slade,,158.80,84.75,"$15,242",20,3,15%
14,15,Thomas Hudson,,151.50,82.86,"$14,831",41,7,17.07%
15,16,Brady Fielder,,148,84.42,"$10,700",4,3,75%
16,17,Cody Heffernan,,137,85.75,"$13,051",16,4,25%
17,18,Beau Willis,,135.50,82.71,"$12,576",34,6,17.65%
18,19,Toby Collins,,120,83.90,"$11,086",13,5,38.46%
19,20,Brumby Brandenburg,,119,82.50,"$12,555",43,5,11.63%
20,21,Bryn Francis,,117.80,81.63,"$7,539",25,4,16%
21,22,Daniel Keeping,,112,85.63,"$7,500",4,2,50%
22,23,Sam Woodall,,106.50,86.17,"$13,067",17,3,17.65%
23,24,Austin Richardson,,86,82.88,"$6,100",4,2,50%
24,25,Klay Ward,,84.13,83.00,"$4,839",27,5,18.52%
25,26,Bradley Wheeler,,84,81.31,"$8,448",25,4,16%
26,27,Caiden Sandilands,,80.50,82.58,"$4,400",20,6,30%
27,28,Dan Ruhland,,56,81.50,"$4,801",46,4,8.70%
28,29,Jackson Gray,,53.50,80.25,"$4,481",17,2,11.76%
29,30,Will Watson,,45,80.00,"$3,261",12,2,16.67%
30,31,Billy Goetsch,,31.50,78.75,"$1,180",21,2,9.52%
31,32,JC Davis,,29,82.67,"$2,600",10,3,30%
32,33,Chanse Switzer,,27,84.50,"$1,500",3,1,33.33%
33,34,Josh Grant,,24.50,77.50,"$2,481",40,1,2.50%
34,35,Tyson Smith,,21.50,76.17,"$2,120",31,3,9.68%
35,36,Josh Alexander,,19,81.00,"$2,420",18,1,5.56%
36,37,Kyle Hall,,17,82.50,"$1,160",6,1,16.67%
37,38,Jono Couling,,16,80.50,$0,26,1,3.85%
38,39,Will Purcell,,13,81.00,"$1,590",2,1,50%
39,39,Lijah Leather,,13,79.00,"$1,465",14,1,7.14%
40,41,Jackson Field,,11,80.50,$400,28,1,3.57%
41,42,Clint McAughtrie,,10,80.50,$0,11,1,9.09%
42,43,Philippi Braga,,8,76.50,$291,11,1,9.09%
43,44,Jake Curr,,0,0.00,$0,1,0,0%
44,44,James Stockdale,,0,0.00,$0,2,0,0%
45,44,Fraser Babbington,,0,0.00,$0,2,0,0%
46,44,Darcy McBean,,0,0.00,$400,7,0,0%
47,44,Riley Eade,,0,0.00,$400,6,0,0%
48,44,Brody Woodard,,0,0.00,$0,9,0,0%
49,44,Lachlan Burgess,,0,0.00,$0,2,0,0%
50,44,Italo Aguilar,,0,0.00,$0,5,0,0%
51,44,Darryl McPherson,,0,0.00,$0,23,0,0%
52,44,Jack Cleaver,,0,0.00,$0,10,0,0%
53,44,Matt Hollis,,0,0.00,$0,7,0,0%
54,44,Joey Buckingham,,0,0.00,$0,6,0,0%
55,44,William Dougan,,0,0.00,$0,1,0,0%
56,44,JN Bennett,,0,0.00,$0,2,0,0%
57,44,Bailey Woodard,,0,0.00,$0,2,0,0%
58,44,James Fels,,0,0.00,$400,2,0,0%
59,44,Cameron Holley,,0,0.00,"$1,250",2,0,0%
60,44,Bailee Selten,,0,0.00,$0,1,0,0%
61,44,Toby Adams,,0,0.00,$0,19,0,0%
62,44,Leo Roldão dos Santos,,0,0.00,$0,15,0,0%
63,44,Eli Toby,,0,0.00,$0,14,0,0%
64,44,Jake Whalan,,0,0.00,$0,11,0,0%
65,44,Cazian Griffiths,,0,0.00,$0,8,0,0%
66,44,Charlie Bailey,,0,0.00,$0,5,0,0%
67,44,Jack Rowlandson,,0,0.00,$0,4,0,0%
68,44,Wes McDonald,,0,0.00,$0,5,0,0%
69,44,Brumby McWhirter,,0,0.00,$0,4,0,0%
70,44,Thomas Triplett,,0,0.00,$0,6,0,0%
71,44,Eli Bee,,0,0.00,$400,4,0,0%
72,44,Jack Brodrick,,0,0.00,$0,4,0,0%
73,44,Lane Hanush Bowen,,0,0.00,$0,3,0,0%
74,44,Taran Chirgwin,,0,0.00,$0,3,0,0%
75,44,Weston Davidson,,0,0.00,$0,3,0,0%
76,44,Luke Wicks,,0,0.00,$0,2,0,0%
77,44,Lee Gilbo,,0,0.00,$0,2,0,0%
78,44,Kyle Horton,,0,0.00,$400,2,0,0%
79,44,Hayden Davis,,0,0.00,$0,3,0,0%
80,44,Koby Parsons,,0,0.00,$0,2,0,0%
