,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Grayson Cole,,742,84.54,"$87,727",62,19,30.65%
1,2,Ederson Santos,,701.50,83.54,"$35,260",42,23,54.76%
2,3,Dener Barbosa,,565.50,83.22,"$25,699",31,17,54.84%
3,4,John Crimber,,560.50,86.80,"$44,093",15,10,66.67%
4,5,Jean Fernandes Pereira,,504.33,82.68,"$21,798",55,22,40%
5,6,Dawson Branton,,463.66,85.77,"$23,418",20,11,55%
6,7,Marco Rizzo,,458,83.79,"$22,671",27,12,44.44%
7,8,Paulo Eduardo Rossetto,,456.50,82.67,"$46,621",25,13,52%
8,9,Ezekiel Mitchell,,453.50,85.35,"$23,359",20,12,60%
9,10,Ramon de Lima,,452.50,81.82,"$18,305",39,18,46.15%
10,11,Claudio Montanha Jr.,,437.16,84.50,"$19,034",46,17,36.96%
11,12,Thiago Salgado,,403.33,84.59,"$17,092",29,16,55.17%
12,13,Guilherme Valleiras,,382,84.19,"$14,521",32,18,56.25%
13,14,Eric Henrique Domingos,,376.83,83.97,"$18,635",43,19,44.19%
14,15,Lucas Divino,,373.50,81.28,"$18,840",21,15,71.43%
15,16,Jake Morinec,,365,86.33,"$20,464",22,9,40.91%
16,17,Daniel Keeping,,363,85.18,"$18,586",22,11,50%
17,18,Cody Coverchuk,,362,84.13,"$17,582",17,15,88.24%
18,19,Marcelo Procopio Pereira,,355.50,80.50,"$18,318",55,13,23.64%
19,20,Michael Lane,,349,81.75,"$16,507",22,10,45.45%
20,21,Kyler Oliver,,335.16,82.78,"$16,217",24,9,37.50%
21,22,Andrew Alvidrez,,333,84.21,"$18,037",25,7,28%
22,23,Andrei Scoparo,,318.50,84.09,"$8,173",20,17,85%
23,24,Hunter Ball,,314.50,85.25,"$19,860",38,8,21.05%
24,25,Tyler Manor,,307.50,80.88,"$21,014",32,12,37.50%
25,26,Qynn Andersen,,301.50,85.75,"$13,548",37,8,21.62%
26,27,Marco Eguchi,,301,84.19,"$10,060",24,12,50%
27,28,Boston Leather,,300.50,85.38,"$19,611",24,8,33.33%
28,29,Lachlan Richardson,,300,82.44,"$12,975",23,8,34.78%
29,30,Leonardo Castro,,299.50,83.77,"$13,156",21,13,61.90%
30,31,Cort McFadden,,298,84.78,"$29,974",11,9,81.82%
31,32,João Henrique Lucas,,296,83.22,"$26,672",23,9,39.13%
32,33,Leandro Zampollo,,291.49,82.14,"$11,373",46,18,39.13%
33,34,Dalton Rudman,,290.50,81.03,"$14,015",37,10,27.03%
34,34,Warley Oliveira da Silva,,290.50,80.84,"$12,198",30,17,56.67%
35,36,Alvaro Ariel,,287,85.64,"$15,501",25,7,28%
36,37,Nick Tetz,,286.99,84.40,"$15,527",21,10,47.62%
37,38,Keyshawn Whitehorse,,274.83,83.16,"$15,481",17,11,64.71%
38,39,Elizmar Jeremias,,268.50,85.43,"$14,293",28,10,35.71%
39,40,Callum Miller,,268,82.23,"$11,572",21,11,52.38%
40,41,Jake Gardner,,257,85.61,"$14,666",14,9,64.29%
41,42,Dustin Herman,,255,81.94,"$10,559",46,9,19.57%
42,43,Cody Heffernan,,247,87.13,"$12,089",11,4,36.36%
43,44,João Paulo Fernandes,,240.83,81.38,"$9,040",27,8,29.63%
44,45,Lucas Martins Costa,,239,83.38,"$9,542",24,12,50%
45,46,Andy Bohl,,232.50,83.33,"$8,370",35,9,25.71%
46,47,Emerson Lopes,,232,82.71,"$6,083",22,13,59.09%
47,48,Yan Victor Cunha,,218.50,83.48,"$4,188",21,15,71.43%
48,49,Bill Henry,,218,83.90,"$11,446",17,5,29.41%
49,50,Cody McCandless,,212,83.07,"$8,457",20,7,35%
50,51,Macaulie Leather,,211,83.68,"$9,592",11,7,63.64%
51,52,Paulo Ferreira Lima,,203.83,82.64,"$9,192",19,7,36.84%
52,53,Ednei Caminhas,,200.83,82.00,"$7,455",31,10,32.26%
53,54,Braydon Wellby,,196,82.40,"$15,450",11,5,45.45%
54,55,Lucas Fideles Souza,,194,84.19,"$11,380",26,8,30.77%
55,56,Ben Bode,,192.50,83.67,"$9,728",21,6,28.57%
56,57,Trace Redd,,191,85.38,"$8,836",19,4,21.05%
57,58,Kyle Eaton,,190,78.00,"$9,547",36,6,16.67%
58,59,Carlos André de Oliveira,,188,83.75,"$6,226",8,6,75%
59,60,Chanse Switzer,,181.50,85.58,"$8,850",15,6,40%
60,61,Elton Toledo,,180.50,84.41,"$4,447",20,11,55%
61,62,Chad Hartman,,178,84.67,"$8,469",26,9,34.62%
62,63,Mason Taylor,,177.83,83.33,"$8,155",11,6,54.55%
63,64,Winy dos Santos,,172.50,83.73,"$3,855",19,11,57.89%
64,65,Brandon Chambers,,171.50,83.58,"$6,420",31,6,19.35%
65,66,Jesse Petri,,170.50,84.29,"$6,358",10,7,70%
66,67,Weston Davidson,,170,81.72,"$8,109",35,9,25.71%
67,68,Elijah Monnett,,168.16,81.00,"$8,314",11,5,45.45%
68,69,Alex Cerqueira,,164,83.84,"$7,027",21,8,38.10%
69,69,Toby Hale,,164,83.25,"$12,834",17,6,35.29%
70,71,Cassio Dias,,163.50,84.36,"$7,377",11,7,63.64%
71,72,Ednélio Rodrigues,,162.50,83.29,"$6,633",14,7,50%
72,73,Clay Guiton,,160.50,85.50,"$7,514",11,4,36.36%
73,74,Kurt Shephard,,156,84.67,"$7,502",5,3,60%
74,74,José de Castro,,156,85.44,"$2,298",18,9,50%
75,76,Murilo Henrique de Oliveira,,155.50,81.18,"$2,785",14,11,78.57%
76,77,Leonardo Lima,,155,85.08,"$6,742",33,6,18.18%
77,78,Wyatt Rogers,,154.66,83.00,"$5,982",24,6,25%
78,79,Jaxton Mortensen,,151,82.75,"$7,850",15,4,26.67%
79,80,Zane Cook,,148.33,83.63,"$3,363",34,8,23.53%
80,81,Eric Novoa,,148,84.25,"$5,894",10,6,60%
81,82,Eikson Pereira,,147.50,83.80,"$3,026",21,10,47.62%
82,83,Leandro Machado,,143,84.75,"$4,680",17,6,35.29%
83,84,Dustin Martinez,,142,85.38,"$5,710",25,4,16%
84,85,Afonso Quintino,,139,84.06,"$5,644",13,9,69.23%
85,86,Briggs Madsen,,137.16,83.20,"$6,022",21,5,23.81%
86,87,Lane Mellers,,136.50,84.88,"$10,197",19,4,21.05%
87,88,Shane Scott,,136,85.50,"$10,000",4,2,50%
88,89,Kaiden Loud,,133,86.25,"$11,465",5,3,60%
89,90,Aaron Roy,,132.50,84.33,"$4,606",16,9,56.25%
90,91,Aaron Williams,,131.16,83.50,"$4,167",15,5,33.33%
91,92,Colton Dougherty,,131,83.29,"$6,415",22,7,31.82%
92,93,Bruno Carvalho,,128.50,79.69,"$4,312",20,8,40%
