,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Gustavo Luiz da Silva,,895,82.54,"$45,535",50,39,78%
1,2,Jake Gardner,,768.17,84.44,"$39,321",51,24,47.06%
2,3,Brady Fielder,,737.33,86.02,"$91,542",30,23,76.67%
3,4,Jared Parsonage,,725,85.13,"$45,074",35,20,57.14%
4,5,Dakota Buttar,,696.67,84.90,"$40,790",34,21,61.76%
5,6,Julio Cesar Marques,,645.25,84.76,"$45,057",35,19,54.29%
6,7,Riquelmi Silva,,550,84.39,"$17,160",47,26,55.32%
7,8,Cleber Henrique Marques,,510,83.76,"$11,834",54,31,57.41%
8,9,Garrett Green,,500.33,84.04,"$25,925",20,13,65%
9,10,Alison Aguiar,,497.33,84.56,"$26,764",28,12,42.86%
10,11,Luan Crystian Camara,,493.50,83.72,"$48,121",33,15,45.45%
11,12,João Paulo Velasco,,488,83.81,"$16,620",38,27,71.05%
12,13,Maverick Smith,,462.75,84.44,"$37,147",18,12,66.67%
13,14,Alex Junior da Silva,,448,83.06,"$21,545",49,13,26.53%
14,15,Lauro Nunes Vieira,,440,84.08,"$21,878",28,9,32.14%
15,16,Gabriel Morais,,422.67,82.68,"$8,720",59,37,62.71%
16,17,Elzisclay dos Santos,,422,84.47,"$12,107",44,27,61.36%
17,18,Warley Oliveira da Silva,,412.50,83.21,"$8,802",49,30,61.22%
18,19,Thiago Salgado,,411,84.29,"$26,925",20,13,65%
19,20,Sandro Batista,,407,83.95,"$26,143",23,14,60.87%
20,21,Gilmar Santana,,384,83.79,"$19,042",28,14,50%
21,22,Lucas Divino,,373,83.25,"$19,495",24,10,41.67%
22,23,Kurt Shephard,,363.67,83.83,"$30,164",27,13,48.15%
23,24,Higor Moises Pereira,,363.50,81.87,"$5,565",56,27,48.21%
24,25,Coy Robbins,,360.67,82.93,"$20,477",31,15,48.39%
25,26,Andrei Scoparo,,358,84.61,"$16,889",20,9,45%
26,27,Vitor Manoel Dias,,357.67,82.39,"$5,561",40,22,55%
27,28,Jordan Hansen,,346.67,83.10,"$16,164",30,15,50%
28,29,Macaulie Leather,,335.50,83.69,"$27,972",36,17,47.22%
29,30,Zane Hall,,333.17,84.57,"$24,395",29,11,37.93%
30,31,Carlos André de Oliveira,,331.50,83.47,"$7,712",40,25,62.50%
31,32,Leonardo Castro,,329.50,83.39,"$135,892",15,7,46.67%
32,33,Clint Glass,,319.50,83.61,"$15,754",30,11,36.67%
33,34,Marcelo Procopio Pereira,,319,85.16,"$18,358",19,8,42.11%
34,35,Alan de Souza,,313,85.21,"$31,763",18,12,66.67%
35,35,Cladson Rodolfo,,313,83.02,"$7,049",43,24,55.81%
36,37,Gilvan Freitas,,311,81.23,"$30,075",21,15,71.43%
37,38,Cody Coverchuk,,309,84.31,"$13,862",20,13,65%
38,38,Alvaro Ariel,,309,84.79,"$16,969",40,7,17.50%
39,40,Michael Lane,,307,80.83,"$18,824",16,6,37.50%
40,41,Aaron Roy,,306.17,83.54,"$16,449",32,14,43.75%
41,42,Alex Oliveira,,304.67,84.72,"$3,333",36,17,47.22%
42,43,Afonso Quintino,,283.50,78.82,"$17,109",12,7,58.33%
43,44,Daniel Keeping,,276.50,84.63,"$28,598",19,12,63.16%
44,45,Francisco Costa,,273.50,81.42,"$14,806",33,12,36.36%
45,46,Callum Miller,,265,85.06,"$17,807",23,9,39.13%
46,47,Damien Krushall,,263.33,84.25,"$15,897",29,8,27.59%
47,48,Andy Guzman,,262,85.25,"$16,855",12,4,33.33%
48,49,Bob Mitchell,,251.33,82.40,"$13,426",18,10,55.56%
49,50,Lucas Junio da Silveira,,244.50,81.74,"$3,373",43,24,55.81%
50,51,Matheus Lima dos Santos,,219.50,83.10,"$10,121",22,10,45.45%
51,52,Vinicius Rodrigues Pereira,,212.83,84.18,"$14,887",45,11,24.44%
52,53,Lucas Martins Costa,,199.50,84.17,"$12,910",31,6,19.35%
53,54,Rylee Ward,,195.83,83.28,"$14,048",31,9,29.03%
54,55,Vinicius Pinheiro Correa,,195.33,81.96,"$7,346",30,12,40%
55,56,Frederico Araujo Margarido,,194,82.32,"$3,185",42,18,42.86%
56,57,Koltin Hevalow,,193.50,82.43,"$12,086",12,7,58.33%
57,58,Wyatt Rogers,,191.50,81.88,"$10,851",27,6,22.22%
58,59,Otniel da Silva,,189,81.33,"$3,474",35,19,54.29%
59,60,Romário Faustino de Oliveira,,188,81.51,"$2,189",53,19,35.85%
60,61,Guilherme Valleiras,,187.50,84.43,"$10,593",9,7,77.78%
