,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Jared Parsonage,,"1,484.50",85.08,"$230,102",51,33,64.71%
1,2,Dakota Buttar,,"1,271.50",84.86,"$91,061",51,33,64.71%
2,3,Jake Gardner,,"1,085.67",84.60,"$104,968",68,35,51.47%
3,4,Jordan Hansen,,831.67,84.23,"$62,834",45,27,60%
4,5,Garrett Green,,634.83,84.06,"$41,011",28,16,57.14%
5,6,Francisco Costa,,547,82.00,"$50,847",42,19,45.24%
6,7,Cody Coverchuk,,527.50,83.97,"$30,587",35,22,62.86%
7,8,Coy Robbins,,442.17,82.64,"$29,042",40,19,47.50%
8,9,Aaron Roy,,407.17,83.89,"$26,896",46,19,41.30%
9,10,Gilmar Santana,,395,83.69,"$21,784",34,16,47.06%
10,11,Nick Tetz,,370.33,85.23,"$23,063",16,11,68.75%
11,12,Chanse Switzer,,353,83.36,"$12,434",35,14,40%
12,13,Callum Miller,,299,87.71,"$31,334",11,6,54.55%
13,14,Tanner Eno,,268.83,83.96,"$15,473",36,13,36.11%
14,15,Koltin Hevalow,,249,84.33,"$16,558",7,6,85.71%
15,16,Lonnie West,,244.83,82.29,"$8,785",43,12,27.91%
16,17,Daniel Keeping,,230,85.96,"$15,221",11,6,54.55%
17,18,Weston Davidson,,213.33,84.05,"$12,758",43,10,23.26%
18,19,Rafael Parra,,208.17,83.36,"$9,349",23,11,47.83%
19,20,Cauy Schmidt,,192.50,83.06,"$9,614",29,12,41.38%
20,21,Ashton Sahli,,191.33,84.06,"$11,686",29,9,31.03%
21,22,Brady Fielder,,163.33,85.17,"$17,383",7,6,85.71%
22,23,Jerson Arantes,,162.17,82.97,"$7,411",35,9,25.71%
23,24,Julio Cesar Marques,,129.83,84.88,"$14,286",6,4,66.67%
24,25,Logan Biever,,124.50,83.40,"$10,284",26,5,19.23%
25,26,Griffin Koester,,119.50,84.71,"$6,022",32,6,18.75%
26,27,Shay Marks,,116.67,85.00,"$6,834",16,3,18.75%
27,28,Eric O'Flynn,,109,80.50,"$5,527",22,8,36.36%
28,29,Tanner Skene,,103.33,82.38,"$3,742",11,4,36.36%
29,30,Brock Radford,,100.50,83.80,"$3,478",10,5,50%
30,31,Austin Paley,,100.33,84.50,"$6,847",51,5,9.80%
31,32,Jett Harkins,,96.50,84.25,"$9,724",8,4,50%
32,33,Tyler Craig,,75,85.83,"$5,786",8,3,37.50%
33,34,Dusty Golden,,62,80.00,"$8,164",19,3,15.79%
34,35,Macaulie Leather,,56,85.00,"$6,509",6,3,50%
35,36,Andrew Alvidrez,,55,85.50,"$6,849",7,3,42.86%
36,37,Tristen Manning,,48,83.00,"$3,972",12,2,16.67%
37,38,Boston Leather,,47.50,83.17,"$3,726",15,3,20%
38,39,Wyatt Gleeson,,44,84.50,"$3,188",10,1,10%
39,40,Ezekiel Mitchell,,41,84.00,"$4,250",6,3,50%
40,41,Jeremy Maisonneuve,,40.50,82.50,"$2,013",5,2,40%
41,42,Jhett Wheeler,,38,81.25,"$3,454",5,2,40%
42,43,Ednelson Martins,,37,81.00,$0,18,2,11.11%
43,44,Marshall Senger,,31,82.00,$575,11,2,18.18%
44,45,Wade Marshall,,25,79.50,"$1,158",25,2,8%
45,45,Micheal Ostashek,,25,81.00,$0,16,2,12.50%
46,45,Lonnie Phillips,,25,78.00,$298,7,2,28.57%
47,48,Carter Sahli,,23.50,82.00,$684,5,2,40%
48,49,Wacey Schalla,,19,83.50,$438,2,1,50%
49,50,Stefan Tonita,,18,82.00,$0,6,1,16.67%
50,50,Grady Young,,18,83.50,$797,4,1,25%
51,50,Jett Lambert,,18,79.75,$0,11,2,18.18%
52,53,Dawson Shannon,,14,85.00,"$1,360",25,1,4%
53,54,Auzyn Corr,,13,84.00,"$1,771",6,1,16.67%
54,54,Kaden Piper,,13,80.00,$503,9,1,11.11%
55,56,Cody Fraser,,12,81.50,$0,8,1,12.50%
56,57,William Barrows,,11,83.00,$238,10,1,10%
57,58,Tahj Wells,,10.50,83.00,$104,2,1,50%
58,59,Trace Redd,,10,80.00,$0,2,1,50%
59,60,Lucas Divino,,9,81.50,$0,6,1,16.67%
60,61,Jordan Iker,,7,77.00,$726,4,1,25%
61,62,Dixon Tattrie,,0,0.00,$0,1,0,0%
62,62,Justin Van de Kemp,,0,0.00,$0,3,0,0%
63,62,Wyatt Fennig,,0,0.00,$0,4,0,0%
64,62,Cole Young,,0,0.00,$0,12,0,0%
65,62,Dayton Johnston,,0,0.00,$0,6,0,0%
66,62,Trinity Bear,,0,0.00,$0,7,0,0%
67,62,Zachery King,,0,0.00,$0,5,0,0%
68,62,Zane Tully,,0,0.00,$0,4,0,0%
69,62,Edgardo Figueroa,,0,0.00,$0,3,0,0%
70,62,Brayden Shore,,0,0.00,$0,4,0,0%
71,62,Clay Gordon,,0,0.00,$0,3,0,0%
72,62,Bret Timmermans,,0,0.00,$0,3,0,0%
73,62,Storm Noskye,,0,0.00,$0,2,0,0%
74,62,Elijah Gordon,,0,0.00,$0,1,0,0%
75,62,Ian Lush,,0,0.00,$0,1,0,0%
76,62,Jesse Ozirney,,0,0.00,$0,2,0,0%
77,62,Orrin Marshall,,0,0.00,$0,2,0,0%
78,62,Liam Bishop,,0,0.00,$0,20,0,0%
79,62,Nicholas Klinck,,0,0.00,$0,6,0,0%
80,62,Gavin Knutson,,0,0.00,$0,4,0,0%
81,62,Scott Smith,,0,0.00,$0,4,0,0%
82,62,Krash Hevalow,,0,0.00,$0,4,0,0%
83,62,Jordan Giguere,,0,0.00,$0,3,0,0%
84,62,Dusty Glenn,,0,0.00,$0,3,0,0%
85,62,Dusty McMullen,,0,0.00,$0,1,0,0%
86,62,Lorne Sampson,,0,0.00,$0,1,0,0%
87,62,Nick Garramone,,0,0.00,$0,2,0,0%
88,62,Brody Bandurka,,0,0.00,$0,1,0,0%
89,62,Jake Heslop,,0,0.00,$0,1,0,0%
90,62,Decker Passkey,,0,0.00,$0,1,0,0%
91,62,Kurt Kipling,,0,0.00,$0,1,0,0%
92,62,Daniel Doble,,0,0.00,$0,1,0,0%
93,62,Lane Jensen,,0,0.00,$0,1,0,0%
94,62,Brody Nelson,,0,0.00,$0,3,0,0%
95,62,Braxton Rowe,,0,0.00,$0,1,0,0%
96,62,Desmond Lambert,,0,0.00,$0,1,0,0%
97,62,Colt Hillis,,0,0.00,$0,1,0,0%
