,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Wyatt Rogers,,353.50,79.96,"$23,027",20,10,50%
1,2,Romario Leite,,252,83.30,"$15,682",20,8,40%
2,3,Jean Carlos Teodoro,,246.50,84.17,"$14,514",28,10,35.71%
3,4,Grayson Cole,,199,86.03,"$9,918",17,4,23.53%
4,5,Jean Fernandes Pereira,,194,83.82,"$11,246",25,10,40%
5,6,Vinicius Rodrigues Pereira,,190,84.50,"$11,246",15,5,33.33%
6,7,Kase Hitt,,179.50,85.68,"$12,124",9,5,55.56%
7,8,Vinicius Pinheiro Correa,,178,85.63,"$8,784",16,8,50%
8,9,Eric Henrique Domingos,,172,86.48,"$12,962",12,4,33.33%
9,10,Dener Barbosa,,168,85.11,"$8,167",13,8,61.54%
10,11,Trace Redd,,166,86.73,"$12,350",6,4,66.67%
11,12,Lucas Martins Costa,,158,84.36,"$7,819",22,8,36.36%
12,13,Nathan Bayous,,156,86.62,"$7,953",16,5,31.25%
13,14,Afonso Quintino,,144,83.33,"$7,372",4,3,75%
14,15,Guilherme Valleiras,,134,85.95,"$7,102",15,6,40%
15,16,Thiago Salgado,,132,84.67,"$114,530",3,3,100%
16,17,Dione de Souza Ribeiro,,120.50,79.53,"$6,572",21,8,38.10%
17,18,Adilson Junior,,111,87.05,"$8,812",5,2,40%
18,19,Renan Almeida Alves,,108,88.27,"$7,184",4,3,75%
19,20,Noah Lee,,107,85.03,"$5,704",6,4,66.67%
20,21,Vitor Losnake,,106,84.62,"$5,212",15,5,33.33%
21,22,Alex Cerqueira,,105.50,79.83,"$5,730",11,6,54.55%
22,23,Davi Henrique de Lima,,104,84.88,"$5,072",26,5,19.23%
23,24,Claudio Montanha Jr.,,103.50,83.93,"$6,878",9,4,44.44%
24,25,Ednei Caminhas,,101,85.13,"$5,385",20,4,20%
25,26,Saul Zambrano,,95,84.80,"$4,971",11,4,36.36%
26,27,Jerson Arantes,,94,86.20,"$7,090",14,3,21.43%
27,28,Zack Morrison,,93,85.00,"$10,085",10,2,20%
28,29,Billy Stephenson,,84.50,83.17,"$8,925",16,3,18.75%
29,30,Adam Mast,,84,83.00,"$4,346",4,2,50%
30,31,Manoelito de Souza Junior,,73,83.25,"$4,223",18,4,22.22%
31,32,Damien Krushall,,72,85.40,"$3,682",11,3,27.27%
32,32,Jake Dunham,,72,85.33,"$5,263",6,3,50%
33,34,Carson Watford,,68,85.00,"$6,878",4,1,25%
34,35,Rogério Venâncio,,67,83.63,"$3,778",9,3,33.33%
35,35,Lauro Nunes Vieira,,67,82.00,"$1,566",13,4,30.77%
36,37,Dalton Allred,,65,90.20,"$4,651",3,1,33.33%
37,38,Leonardo Lima,,59,84.40,"$3,256",14,2,14.29%
38,38,Marco Juarez,,59,86.05,"$6,371",5,2,40%
39,38,Gavin Mitchell,,59,84.00,"$4,879",5,2,40%
40,41,Eric Novoa,,58,79.70,"$6,218",10,3,30%
41,41,Travis Wimberley,,58,85.50,"$3,481",7,2,28.57%
42,43,Jaxton Mortensen,,55,83.65,"$5,570",9,2,22.22%
43,43,Cody Hooks,,55,80.43,"$3,066",6,3,50%
44,45,Conner Halverson,,53,84.50,"$3,903",6,1,16.67%
45,45,Angelo Rosseto,,53,80.50,"$4,767",12,2,16.67%
46,47,João Ricardo Vieira,,49,81.67,"$2,960",16,3,18.75%
47,47,Brody Robinson,,49,74.83,"$3,641",17,3,17.65%
48,47,Dustin Herman,,49,86.50,"$3,198",3,1,33.33%
