rider,st_dev_ride,avg_ride,st_dev_score,avg_score,cv_ride,stability_score,year_count,total_rides,total_outs
John Crimber,1.84,62.17,10.61,82.15,2.95,97.05,4,151.0,274.0
Cleber Henrique Marques,5.37,50.74,1.01,82.75,10.59,89.41,5,225.0,399.0
Alan de Souza,5.16,46.31,10.19,73.35,11.14,88.86,5,153.0,291.0
Aaron Roy,5.09,43.09,0.81,83.01,11.82,88.18,7,230.0,581.0
Kaique Pacheco,6.69,48.37,1.22,85.86,13.83,86.17,7,209.0,426.0
Andrew Alvidrez,5.19,36.35,0.46,85.66,14.28,85.72,7,148.0,457.0
Dakota Buttar,8.9,57.03,1.22,84.26,15.6,84.4,7,277.0,494.0
Alex Cerqueira,6.95,41.67,1.53,83.62,16.69,83.31,6,192.0,478.0
Leandro Zampollo,6.64,39.56,8.12,80.39,16.78,83.22,5,233.0,533.0
Kurt Shephard,8.87,49.8,1.08,83.51,17.81,82.19,7,150.0,308.0
Warley Oliveira da Silva,10.7,59.41,1.31,84.31,18.02,81.98,5,253.0,414.0
Lucas Martins Costa,7.04,38.0,1.26,83.49,18.53,81.47,6,140.0,352.0
Garrett Green,11.39,56.89,2.03,82.85,20.02,79.98,7,143.0,258.0
Jose Vitor Leme,11.37,55.95,0.99,88.11,20.32,79.68,7,196.0,325.0
Donnie Rutherfurd,8.45,41.06,15.91,70.04,20.58,79.42,4,59.0,124.0
Blake Smith,5.15,24.58,20.15,71.78,20.97,79.03,4,65.0,207.0
Brady Fielder,11.14,50.65,1.36,84.68,21.98,78.02,7,235.0,471.0
Griffin Smeltzer,5.63,25.07,10.48,73.93,22.46,77.54,4,56.0,188.0
Paulo Eduardo Rossetto,9.87,43.08,3.17,84.77,22.9,77.1,5,157.0,358.0
Alvaro da Cunha,10.98,47.85,4.05,80.12,22.95,77.05,4,94.0,224.0
Bruno Carvalho,9.9,42.54,7.51,77.9,23.27,76.73,6,158.0,366.0
Clint Glass,6.9,29.19,13.19,77.82,23.63,76.37,5,69.0,233.0
Cauy Schmidt,6.47,26.87,13.51,77.29,24.09,75.91,5,79.0,284.0
Michael Lane,6.08,25.0,12.35,77.23,24.34,75.66,7,71.0,223.0
Aaron Kleier,13.43,55.09,0.96,85.15,24.37,75.63,5,162.0,282.0
Jared Parsonage,15.33,61.8,1.0,84.31,24.8,75.2,7,168.0,295.0
Keyshawn Whitehorse,11.2,44.99,11.14,80.13,24.9,75.1,7,202.0,519.0
Julio Cesar Marques,10.25,40.02,0.93,83.6,25.61,74.39,4,118.0,295.0
João Ricardo Vieira,11.27,43.02,8.73,81.96,26.18,73.82,7,222.0,537.0
Vitor Hugo Costa,10.68,40.5,1.83,82.83,26.37,73.63,5,103.0,238.0
Lucas Junio da Silveira,13.99,52.29,0.89,82.51,26.76,73.24,5,232.0,432.0
Cody Coverchuk,14.85,53.25,11.72,79.01,27.89,72.11,6,283.0,530.0
Jake Morinec,9.21,32.93,20.18,68.93,27.96,72.04,5,59.0,167.0
João Lucas Campos,14.48,51.18,2.24,84.11,28.29,71.71,6,171.0,307.0
Marcus Mast,7.23,25.47,13.72,75.78,28.37,71.63,7,81.0,311.0
Luciano De Castro,13.45,46.14,11.4,81.06,29.14,70.86,7,143.0,333.0
Jake Gardner,11.27,38.5,17.66,74.65,29.29,70.71,7,167.0,367.0
Marcelo Procopio Pereira,9.9,33.75,9.39,81.74,29.32,70.68,6,107.0,329.0
Guilherme Valleiras,11.5,38.9,11.48,77.26,29.55,70.45,5,131.0,304.0
Chad Hartman,6.49,21.7,7.85,78.72,29.9,70.1,6,80.0,390.0
Jerson Arantes,10.9,36.36,2.29,83.42,29.98,70.02,5,155.0,393.0
Ezekiel Mitchell,10.66,35.11,11.61,79.2,30.36,69.64,7,154.0,482.0
Ramon Fiorini,12.81,41.75,2.92,83.79,30.69,69.31,4,82.0,160.0
Dalton Kasel,14.78,47.66,16.36,81.35,31.0,69.0,7,167.0,367.0
Eduardo Aparecido,10.83,34.59,10.97,82.26,31.32,68.68,7,149.0,407.0
Macaulie Leather,14.53,46.12,9.26,79.87,31.51,68.49,5,189.0,389.0
